counsellingType,year,round,institute,academicProgram,quota,seatType,gender,openingRankRaw,closingRankRaw,sourceLabel,sourceUrl
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18582,20995,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1966,2170,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3242,3242,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4583,4958,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8551,8551,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2332,2611,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4396,4396,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1011,1202,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),218P,330P,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,585,2388,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2494,6360,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,44,44,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),41P,41P,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,327,586,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1050,1409,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,447,1448,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1935,3207,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,62,62,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,136,658,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),803,1493,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,184,471,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),424,424,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,631,1191,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4101,4101,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,139,139,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,360,360,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1490,1490,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,994,1155,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),3479,3479,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,521,545,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
